Product Name,Brand Name,Price (Ksh),Discount (%),Total Reviews,Original Rating,Adjusted Rating,Popularity
Fashion High Waist Jeans Body Shape Sky Blue,,949.0,,0,0,1.25,Low
Fashion Women Solid Color Off Shoulder Club Party Jumpsuit 2pcs Spring And Fall,,1149.0,,0,0,1.25,Low
Defacto Woman Core Regular Fit V Neck Knitted Short Sleeve T-Shirt - Black,,588.0,,0,0,1.25,Low
Fashion 3PCS Sexy Ladies Cotton Stretch Striped Tight,,985.0,,0,0,1.25,Low
"Fashion Sexiest Mock Neck Ribbed Bodycon Dress (Hips 36-44"" Fit)",,567.0,,0,0,1.25,Low
Defacto Woman Young Regular Fit Knitted Trousers - Black,,1148.0,,0,0,1.25,Low
Fashion 4PCs Most Beautiful Printed Seamless Panties(Hips 38-44inches),,738.0,,0,0,1.25,Low
Fashion 4PCS Cotton Tummy Control Highwaist Seamless Panties,,995.0,,0,0,1.25,Low
Defacto Woman Casual Regular Fit Woven Long Sleeve Shirt - Ecru,,1529.0,,0,0,1.25,Low
Fashion Women Lace Sexy Floral Panties  Ladies Comfortable Underpants Female  Lingerie,,899.0,,0,0,1.25,Low
Trendy Fashion New Diamond Set Gold Business Watch For Men,,698.0,,0,0,1.25,Low
Fashion Adjustable Canvas Belt No Metal Anti-allergy Belt,,279.0,,0,0,1.25,Low
Fashion Men‘s Watch Men's Casual Quartz Watch，watches For Men,,620.0,,0,0,1.25,Low
Fashion Men Stainless Steel Rotatable Chain Ring- Blue,,100.0,,0,0,1.25,Low
Fashion Men Fashion Simple Short Wallet Card Holder Geometric Pattern Wallet PU Wallet,,279.0,,0,0,1.25,Low
Fashion Ladies Fashion Watched  Plastic Strap Watch Quartz Watches,,369.0,,0,0,1.25,Low
Business All-match Watch For Men Waterproof Designer Quartz Fashion Wrist Watch,,553.0,,0,0,1.25,Low
Men Wallets Pocket Wallet- Brown,,372.0,,0,0,1.25,Low
Fashion Mens Watches Stainless Steel Casual Sports Business Watch,,329.0,,0,0,1.25,Low
Faux Leather Wallet For Men - Grey/Brown,,512.0,,0,0,1.25,Low
Fashion Men's Belt Buckle Canvas Belts Adjusted Leisure Belts,,229.0,,0,0,1.25,Low
Fashion Women Trendy Belt Casual Pu leather Belt Buckle Retro Belt,,329.0,,0,0,1.25,Low
